Input,Output
0.000000,19817753709685768192.000000
0.062500,3.993229
0.125000,2.827720
0.187500,2.307387
0.250000,1.996614
0.312500,1.788564
0.375000,1.630726
0.437500,1.509777
0.500000,1.413860
0.562500,1.331813
0.625000,1.262743
0.687500,1.204145
0.750000,1.153694
0.812500,1.109250
0.875000,1.068856
0.937500,1.031003
1.000000,0.998307
1.062500,0.969555
1.125000,0.942711
1.187500,0.917658
1.250000,0.894282
1.312500,0.872471
1.375000,0.852118
1.437500,0.833116
1.500000,0.815363
1.562500,0.798759
1.625000,0.783208
1.687500,0.768614
1.750000,0.754888
1.812500,0.741941
1.875000,0.729687
1.937500,0.718043
2.000000,0.706930
2.062500,0.695994
2.125000,0.685525
2.187500,0.675503
2.250000,0.665906
2.312500,0.656715
2.375000,0.647908
2.437500,0.639467
2.500000,0.631372
2.562500,0.623603
2.625000,0.616142
2.687500,0.608971
2.750000,0.602072
2.812500,0.595427
2.875000,0.589019
2.937500,0.582831
3.000000,0.576847
3.062500,0.571050
3.125000,0.565424
3.187500,0.559954
3.250000,0.554625
3.312500,0.549422
3.375000,0.544331
3.437500,0.539338
3.500000,0.534428
3.562500,0.529589
3.625000,0.524808
3.687500,0.520072
3.750000,0.515502
3.812500,0.511279
3.875000,0.507149
3.937500,0.503108
4.000000,0.499154
4.062500,0.495467
4.125000,0.491843
4.187500,0.488280
4.250000,0.484778
4.312500,0.481335
4.375000,0.477951
4.437500,0.474625
4.500000,0.471356
4.562500,0.468142
4.625000,0.464984
4.687500,0.461880
4.750000,0.458829
4.812500,0.455831
4.875000,0.452884
4.937500,0.449988
5.000000,0.447141
5.062500,0.444343
5.125000,0.441594
5.187500,0.438892
5.250000,0.436236
5.312500,0.433625
5.375000,0.431059
5.437500,0.428538
5.500000,0.426059
5.562500,0.423622
5.625000,0.421227
5.687500,0.418873
5.750000,0.416558
5.812500,0.414282
5.875000,0.412045
5.937500,0.409845
6.000000,0.407681
6.062500,0.405554
6.125000,0.403462
6.187500,0.401404
6.250000,0.399380
6.312500,0.397388
6.375000,0.395429
6.437500,0.393501
6.500000,0.391604
6.562500,0.389737
6.625000,0.387899
6.687500,0.386089
6.750000,0.384307
6.812500,0.382553
6.875000,0.380824
6.937500,0.379122
7.000000,0.377444
7.062500,0.375791
7.125000,0.374161
7.187500,0.372555
7.250000,0.370970
7.312500,0.369408
7.375000,0.367866
7.437500,0.366345
7.500000,0.364843
7.562500,0.363361
7.625000,0.361897
7.687500,0.360451
7.750000,0.359021
7.812500,0.357609
7.875000,0.356212
7.937500,0.354831
8.000000,0.353465
8.062500,0.352075
8.125000,0.350701
8.187500,0.349342
8.250000,0.347997
8.312500,0.346667
8.375000,0.345351
8.437500,0.344050
8.500000,0.342763
8.562500,0.341489
8.625000,0.340230
8.687500,0.338984
8.750000,0.337752
8.812500,0.336532
8.875000,0.335326
8.937500,0.334133
9.000000,0.332953
9.062500,0.331786
9.125000,0.330631
9.187500,0.329488
9.250000,0.328357
9.312500,0.327239
9.375000,0.326132
9.437500,0.325038
9.500000,0.323954
9.562500,0.322882
9.625000,0.321822
9.687500,0.320772
9.750000,0.319734
9.812500,0.318706
9.875000,0.317689
9.937500,0.316682
10.000000,0.315686
10.062500,0.314700
10.125000,0.313724
10.187500,0.312758
10.250000,0.311801
10.312500,0.310855
10.375000,0.309918
10.437500,0.308990
10.500000,0.308071
10.562500,0.307162
10.625000,0.306261
10.687500,0.305369
10.750000,0.304486
10.812500,0.303611
10.875000,0.302744
10.937500,0.301886
11.000000,0.301036
11.062500,0.300194
11.125000,0.299360
11.187500,0.298533
11.250000,0.297714
11.312500,0.296902
11.375000,0.296097
11.437500,0.295300
11.500000,0.294510
11.562500,0.293726
11.625000,0.292949
11.687500,0.292179
11.750000,0.291416
11.812500,0.290658
11.875000,0.289907
11.937500,0.289162
12.000000,0.288423
12.062500,0.287690
12.125000,0.286963
12.187500,0.286241
12.250000,0.285525
12.312500,0.284814
12.375000,0.284108
12.437500,0.283407
12.500000,0.282712
12.562500,0.282021
12.625000,0.281335
12.687500,0.280654
12.750000,0.279977
12.812500,0.279305
12.875000,0.278636
12.937500,0.277972
13.000000,0.277312
13.062500,0.276657
13.125000,0.276004
13.187500,0.275356
13.250000,0.274711
13.312500,0.274070
13.375000,0.273432
13.437500,0.272797
13.500000,0.272166
13.562500,0.271537
13.625000,0.270911
13.687500,0.270289
13.750000,0.269669
13.812500,0.269051
13.875000,0.268437
13.937500,0.267824
14.000000,0.267214
14.062500,0.266606
14.125000,0.266000
14.187500,0.265397
14.250000,0.264795
14.312500,0.264195
14.375000,0.263596
14.437500,0.262999
14.500000,0.262404
14.562500,0.261810
14.625000,0.261218
14.687500,0.260626
14.750000,0.260036
14.812500,0.259447
14.875000,0.258859
14.937500,0.258286
15.000000,0.257751
15.062500,0.257219
15.125000,0.256689
15.187500,0.256163
15.250000,0.255639
15.312500,0.255119
15.375000,0.254601
15.437500,0.254086
15.500000,0.253574
15.562500,0.253065
15.625000,0.252559
15.687500,0.252055
15.750000,0.251554
15.812500,0.251056
15.875000,0.250560
15.937500,0.250067
16.000000,0.249577
16.062500,0.249113
16.125000,0.248651
16.187500,0.248191
16.250000,0.247733
16.312500,0.247278
16.375000,0.246824
16.437500,0.246371
16.500000,0.245921
16.562500,0.245473
16.625000,0.245027
16.687500,0.244582
16.750000,0.244140
16.812500,0.243699
16.875000,0.243261
16.937500,0.242824
17.000000,0.242389
17.062500,0.241956
17.125000,0.241524
17.187500,0.241095
17.250000,0.240668
17.312500,0.240242
17.375000,0.239818
17.437500,0.239396
17.500000,0.238976
17.562500,0.238557
17.625000,0.238140
17.687500,0.237726
17.750000,0.237312
17.812500,0.236901
17.875000,0.236492
17.937500,0.236084
18.000000,0.235678
18.062500,0.235274
18.125000,0.234871
18.187500,0.234470
18.250000,0.234071
18.312500,0.233674
18.375000,0.233278
18.437500,0.232884
18.500000,0.232492
18.562500,0.232102
18.625000,0.231713
18.687500,0.231325
18.750000,0.230940
18.812500,0.230556
18.875000,0.230174
18.937500,0.229793
19.000000,0.229415
19.062500,0.229037
19.125000,0.228662
19.187500,0.228288
19.250000,0.227915
19.312500,0.227545
19.375000,0.227175
19.437500,0.226808
19.500000,0.226442
