Input,Constant,Output
0.000000,df3157cc,-19168360152088707072.000000
0.062500,5f3fffff,4.000000
0.125000,5f3504f2,2.828427
0.187500,5f34266c,2.309382
0.250000,5f3fffff,2.000000
0.312500,5f352b93,1.788852
0.375000,5f30fff1,1.632993
0.437500,5f31d1b1,1.511852
0.500000,5f3504f2,1.414214
0.562500,5f32abee,1.333333
0.625000,5f31d5dd,1.264911
0.687500,5f326c1f,1.206045
0.750000,5f34266c,1.154691
0.812500,5f36acd0,1.109363
0.875000,5f39aafa,1.068986
0.937500,5f3cd952,1.032758
1.000000,5f400000,1.000000
1.062500,5f3cbb65,0.970139
1.125000,5f39cb9c,0.942804
1.187500,5f374372,0.917660
1.250000,5f352b93,0.894426
1.312500,5f338522,0.872872
1.375000,5f324bed,0.852803
1.437500,5f31782e,0.834058
1.500000,5f30fff1,0.816497
1.562500,5f30d81c,0.800000
1.625000,5f30f539,0.784464
1.687500,5f314bff,0.769799
1.750000,5f31d1b1,0.755926
1.812500,5f327c5e,0.742778
1.875000,5f3342ff,0.730294
1.937500,5f341d89,0.718420
2.000000,5f3504f2,0.707107
2.062500,5f344c62,0.696311
2.125000,5f33a9e0,0.685994
2.187500,5f331ec6,0.676123
2.250000,5f32abee,0.666667
2.312500,5f3251c0,0.657596
2.375000,5f321043,0.648886
2.437500,5f31e729,0.640512
2.500000,5f31d5dd,0.632455
2.562500,5f31db91,0.624695
2.625000,5f31f749,0.617213
2.687500,5f3227e2,0.609994
2.750000,5f326c1f,0.603023
2.812500,5f32c2ad,0.596284
2.875000,5f332a2f,0.589767
2.937500,5f33a13c,0.583457
3.000000,5f34266c,0.577345
3.062500,5f34b857,0.571421
3.125000,5f35559b,0.565674
3.187500,5f35fcde,0.560097
3.250000,5f36acd0,0.554682
3.312500,5f37642e,0.549420
3.375000,5f3821c1,0.544305
3.437500,5f38e462,0.539332
3.500000,5f39aafa,0.534493
3.562500,5f3a7480,0.529784
3.625000,5f3b3ffe,0.525198
3.687500,5f3c0c8c,0.520732
3.750000,5f3cd952,0.516379
3.812500,5f3da58b,0.512135
3.875000,5f3e707e,0.507994
3.937500,5f3f3982,0.503951
4.000000,5f3fffff,0.500000
4.062500,5f3f2862,0.496139
4.125000,5f3e54be,0.492365
4.187500,5f3d8597,0.488677
4.250000,5f3cbb65,0.485070
4.312500,5f3bf690,0.481541
4.375000,5f3b3774,0.478089
4.437500,5f3a7e61,0.474710
4.500000,5f39cb9c,0.471402
4.562500,5f391f5d,0.468162
4.625000,5f3879d4,0.464989
4.687500,5f37db26,0.461878
4.750000,5f374372,0.458830
4.812500,5f36b2cb,0.455841
4.875000,5f362940,0.452910
4.937500,5f35a6d8,0.450034
5.000000,5f352b93,0.447213
5.062500,5f34b76b,0.444444
5.125000,5f344a56,0.441726
5.187500,5f33e444,0.439057
5.250000,5f338522,0.436436
5.312500,5f332cd9,0.433861
5.375000,5f32db4c,0.431331
5.437500,5f32905e,0.428845
5.500000,5f324bed,0.426401
5.562500,5f320dd7,0.423999
5.625000,5f31d5f5,0.421637
5.687500,5f31a420,0.419314
5.750000,5f31782e,0.417029
5.812500,5f3151f7,0.414781
5.875000,5f31314d,0.412568
5.937500,5f311605,0.410391
6.000000,5f30fff1,0.408248
6.062500,5f30eee4,0.406138
6.125000,5f30e2b1,0.404061
6.187500,5f30db28,0.402015
