Input,Output
0.000000,'0
0.062500,'3d800000
0.125000,'3e000000
0.187500,'3e400000
0.250000,'3e800000
0.312500,'3ea00000
0.375000,'3ec00000
0.437500,'3ee00000
0.500000,'3f000000
0.562500,'3f100000
0.625000,'3f200000
0.687500,'3f300000
0.750000,'3f400000
0.812500,'3f500000
0.875000,'3f600000
0.937500,'3f700000
1.000000,'3f800000
1.062500,'3f880000
1.125000,'3f900000
1.187500,'3f980000
1.250000,'3fa00000
1.312500,'3fa80000
1.375000,'3fb00000
1.437500,'3fb80000
1.500000,'3fc00000
1.562500,'3fc80000
1.625000,'3fd00000
1.687500,'3fd80000
1.750000,'3fe00000
1.812500,'3fe80000
1.875000,'3ff00000
1.937500,'3ff80000
2.000000,'40000000
2.062500,'40040000
2.125000,'40080000
2.187500,'400c0000
2.250000,'40100000
2.312500,'40140000
2.375000,'40180000
2.437500,'401c0000
2.500000,'40200000
2.562500,'40240000
2.625000,'40280000
2.687500,'402c0000
2.750000,'40300000
2.812500,'40340000
2.875000,'40380000
2.937500,'403c0000
3.000000,'40400000
3.062500,'40440000
3.125000,'40480000
3.187500,'404c0000
3.250000,'40500000
3.312500,'40540000
3.375000,'40580000
3.437500,'405c0000
3.500000,'40600000
3.562500,'40640000
3.625000,'40680000
3.687500,'406c0000
3.750000,'40700000
3.812500,'40740000
3.875000,'40780000
3.937500,'407c0000
4.000000,'40800000
4.062500,'40820000
4.125000,'40840000
4.187500,'40860000
4.250000,'40880000
4.312500,'408a0000
4.375000,'408c0000
4.437500,'408e0000
4.500000,'40900000
4.562500,'40920000
4.625000,'40940000
4.687500,'40960000
4.750000,'40980000
4.812500,'409a0000
4.875000,'409c0000
4.937500,'409e0000
5.000000,'40a00000
5.062500,'40a20000
5.125000,'40a40000
5.187500,'40a60000
5.250000,'40a80000
5.312500,'40aa0000
5.375000,'40ac0000
5.437500,'40ae0000
5.500000,'40b00000
5.562500,'40b20000
5.625000,'40b40000
5.687500,'40b60000
5.750000,'40b80000
